2023-06-08 15:07:21 status unpacked linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1
2023-06-08 15:07:21 install linux-headers-5.19.0-43-generic:amd64 <none> 5.19.0-43.44~22.04.1
2023-06-08 15:07:21 status half-installed linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:22 status unpacked linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 upgrade linux-headers-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15 5.19.0.43.44~22.04.17
2023-06-08 15:07:23 status half-configured linux-headers-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:23 status unpacked linux-headers-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:23 status half-installed linux-headers-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:23 status unpacked linux-headers-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:23 startup packages configure
2023-06-08 15:07:23 configure linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:23 status unpacked linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 status half-configured linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 status installed linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 configure linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:23 status unpacked linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 status half-configured linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 status installed linux-headers-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 configure linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:23 status unpacked linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:23 status half-configured linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:24 status installed linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:24 configure linux-headers-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17 <none>
2023-06-08 15:07:24 status unpacked linux-headers-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:24 status half-configured linux-headers-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:24 status installed linux-headers-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:24 configure linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:24 status unpacked linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:24 status half-configured linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:26 status installed linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:26 status triggers-pending linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:26 configure linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:26 status unpacked linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:26 status half-configured linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:27 status installed linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:27 configure linux-image-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17 <none>
2023-06-08 15:07:27 status unpacked linux-image-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 status half-configured linux-image-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 status installed linux-image-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 configure linux-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17 <none>
2023-06-08 15:07:27 status unpacked linux-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 status half-configured linux-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 status installed linux-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:27 trigproc linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1 <none>
2023-06-08 15:07:27 status half-configured linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:41 status installed linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:46 startup archives unpack
2023-06-08 15:07:46 upgrade libctf-nobfd0:amd64 2.38-4ubuntu2.1 2.38-4ubuntu2.2
2023-06-08 15:07:46 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:07:46 status half-configured libctf-nobfd0:amd64 2.38-4ubuntu2.1
2023-06-08 15:07:46 status unpacked libctf-nobfd0:amd64 2.38-4ubuntu2.1
2023-06-08 15:07:46 status half-installed libctf-nobfd0:amd64 2.38-4ubuntu2.1
2023-06-08 15:07:46 status unpacked libctf-nobfd0:amd64 2.38-4ubuntu2.2
2023-06-08 15:07:46 startup packages configure
2023-06-08 15:07:46 configure libctf-nobfd0:amd64 2.38-4ubuntu2.2 <none>
2023-06-08 15:07:46 status unpacked libctf-nobfd0:amd64 2.38-4ubuntu2.2
2023-06-08 15:07:46 status half-configured libctf-nobfd0:amd64 2.38-4ubuntu2.2
2023-06-08 15:07:46 status installed libctf-nobfd0:amd64 2.38-4ubuntu2.2
2023-06-08 15:07:46 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:07:46 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:07:46 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:07:51 startup archives unpack
2023-06-08 15:07:51 upgrade ncurses-bin:amd64 6.3-2 6.3-2ubuntu0.1
2023-06-08 15:07:51 status half-configured ncurses-bin:amd64 6.3-2
2023-06-08 15:07:51 status unpacked ncurses-bin:amd64 6.3-2
2023-06-08 15:07:51 status half-installed ncurses-bin:amd64 6.3-2
2023-06-08 15:07:51 status triggers-pending man-db:amd64 2.10.2-1
2023-06-08 15:07:51 status unpacked ncurses-bin:amd64 6.3-2ubuntu0.1
2023-06-08 15:07:51 startup packages configure
2023-06-08 15:07:51 configure ncurses-bin:amd64 6.3-2ubuntu0.1 <none>
2023-06-08 15:07:51 status unpacked ncurses-bin:amd64 6.3-2ubuntu0.1
2023-06-08 15:07:51 status half-configured ncurses-bin:amd64 6.3-2ubuntu0.1
2023-06-08 15:07:51 status installed ncurses-bin:amd64 6.3-2ubuntu0.1
2023-06-08 15:07:51 startup packages configure
2023-06-08 15:07:51 trigproc man-db:amd64 2.10.2-1 <none>
2023-06-08 15:07:51 status half-configured man-db:amd64 2.10.2-1
2023-06-08 15:07:51 status installed man-db:amd64 2.10.2-1
2023-06-08 15:07:56 startup archives unpack
2023-06-08 15:07:56 upgrade snapd:amd64 2.58+22.04 2.58+22.04.1
2023-06-08 15:07:56 status half-configured snapd:amd64 2.58+22.04
2023-06-08 15:07:57 status unpacked snapd:amd64 2.58+22.04
2023-06-08 15:07:57 status half-installed snapd:amd64 2.58+22.04
2023-06-08 15:07:57 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2023-06-08 15:07:57 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
2023-06-08 15:07:57 status triggers-pending desktop-file-utils:amd64 0.26-1ubuntu3
2023-06-08 15:07:57 status triggers-pending dbus:amd64 1.12.20-2ubuntu4.1
2023-06-08 15:07:57 status triggers-pending man-db:amd64 2.10.2-1
2023-06-08 15:07:57 status unpacked snapd:amd64 2.58+22.04.1
2023-06-08 15:07:58 startup packages configure
2023-06-08 15:07:58 configure snapd:amd64 2.58+22.04.1 <none>
2023-06-08 15:07:58 status unpacked snapd:amd64 2.58+22.04.1
2023-06-08 15:07:58 status half-configured snapd:amd64 2.58+22.04.1
2023-06-08 15:08:07 status installed snapd:amd64 2.58+22.04.1
2023-06-08 15:08:07 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2023-06-08 15:08:07 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2023-06-08 15:08:07 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2023-06-08 15:08:07 trigproc man-db:amd64 2.10.2-1 <none>
2023-06-08 15:08:07 status half-configured man-db:amd64 2.10.2-1
2023-06-08 15:08:07 status installed man-db:amd64 2.10.2-1
2023-06-08 15:08:07 trigproc dbus:amd64 1.12.20-2ubuntu4.1 <none>
2023-06-08 15:08:07 status half-configured dbus:amd64 1.12.20-2ubuntu4.1
2023-06-08 15:08:07 status installed dbus:amd64 1.12.20-2ubuntu4.1
2023-06-08 15:08:07 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
